CodProd,Desc. Prod.,CodBarra
1000001,ANGEL 270G,7896986207013
1000002,ANGEL EDICAO LIMITADA 230G,7896986201837
1000004,POTE LACREME 260G,7896986201998
1000008,CX CACAU BAR TRUFAS 330G,7896986236259
1000009,CACAU FASHION 100G,7896986239069
1000019,CLASSICOS CS AVELA 150G,7896986206405
1000020,CLASSICOS CS CEREJA 150G,7896986205576
1000021,CX CLASSICOS TRUFA 150G,7896986205569
1000023,CORACAO ART MENSAGEM 150G,7896986235481
1000026,CAIXA ARTESANAL 600G,7896986237201
1000027,CX PRESENTE LACREME 220G,7896986239403
1000028,CAIXA PRECIOSIDADES CEREJA 400G,7896986235948
1000029,CAIXA PRECIOSIDADES MARULA 400G,7896986235962
1000030,CAIXA PRECIOSIDA PURO CACAU 400G,7896986235979
1000031,CAIXA PRECIOSIDADES SORTIDO 400G,7896986235986
1000032,CAIXA PRECIOSIDADES TRUFA 400G,7896986235955
1000033,ENCANTO 320G,7896986209338
1000034,GOLDEN GIFT AVELA 160G,7896986201028
1000035,GOLDEN GIFT CHERRY 160G,7896986201011
1000038,GOLDEN GIFT MAE TRUFA 160G,7896986201875
1000039,GOLDEN GIFT TRUFA 160G,7896986201165
1000041,GOLDEN LOVE CEREJA 160G,7896986205460
1000042,GOLDEN LOVE TRUFA 160G,7896986205477
1000117,CX TAB INTENSIDADE 350 SORTIDO,7896986201684
1000118,KIT POTE CEREJA 260G,7896986238932
1000119,KIT POTE SORTIDA 260G,7896986238994
1000120,KIT SAFRA ED ESPECIAL 140G,7896986233357
1000121,LATA LOVE SHOW CORACAO 180G,7896986204500
1000122,LE GRAND 300G,7896986232992
1000124,LIVRO EDICAO TRUFAS 200G,7896986209680
1000128,MINI CX ART CORACAO 200G,7896986237997
1000130,MINI SHOW BRANCO 108G,7896986239083
1000131,MINI SHOW COINTREAU 108G,7896986201707
1000132,MINI SHOW COINTREAU PAIS 108G,7896986202209
1000133,MINI SHOW MEIO AMARGO 108G,7896986239076
1000138,OCEANO 148G,7896986209345
1000143,CX CACAU BAR SOMMELIER 170G,7896986232794
1000178,TOOLBOX 160G,7896986210556
1000179,TOOLBOX PAIS 160G,7896986202216
1000184,VOGAIS BRANCAS 70G,7896986234910
